name	url_img	utf16be_str
明朝体	https://kanji.jitenon.jp/shotai3/001.gif	4E00
教科書体	https://kanji.jitenon.jp/shotai2/001.gif	4E00
教科書体（筆順）	https://kanji.jitenon.jp/shotai1/001.gif	4E00
明朝体	https://kanji.jitenon.jp/shotai3/069.gif	516B
教科書体	https://kanji.jitenon.jp/shotai2/069.gif	516B
教科書体（筆順）	https://kanji.jitenon.jp/shotai1/069.gif	516B
明朝体	https://kanji.jitenon.jp/shotai3/066.gif	5165
教科書体	https://kanji.jitenon.jp/shotai2/066.gif	5165
教科書体（筆順）	https://kanji.jitenon.jp/shotai1/066.gif	5165
明朝体	https://kanji.jitenon.jp/shotai3/1329.gif	4E59
教科書体	https://kanji.jitenon.jp/shotai2/1329.gif	4E59
教科書体（筆順）	https://kanji.jitenon.jp/shotai1/1329.gif	4E59
